,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.73,219.50404,1420.0,0.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.5,226.6906,1420.0,1.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.72,244.46089,1420.0,2.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,251.79936,1420.0,3.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.73,268.41666,1420.0,4.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.79,285.1047,1420.0,5.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.74,299.7019,1420.0,6.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.58,315.22137,1420.0,7.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.5,323.62314,1420.0,8.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.74,210.08867,1420.0,0.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.63,217.07947,1420.0,1.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.71,232.35435,1420.0,2.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.7,251.93689,1420.0,3.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.84,267.1819,1420.0,4.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.8,283.6082,1420.0,5.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.8,302.13522,1420.0,6.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.63,314.5003,1420.0,7.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.72,331.45316,1420.0,8.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.52,217.34573,1420.0,0.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.55,233.02008,1420.0,1.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.54,244.93007,1420.0,2.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.46,253.37492,1420.0,3.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.52,271.1557,1420.0,4.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.49,288.3708,1420.0,5.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.53,302.57736,1420.0,6.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.53,317.57028,1420.0,7.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
26,0.46,330.7069,1420.0,8.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
27,0.51,237.27104,1420.0,0.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
28,0.53,256.92038,1420.0,1.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
29,0.46,274.45007,1420.0,2.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
30,0.55,281.9035,1420.0,3.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
31,0.51,297.8815,1420.0,4.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
32,0.42,305.1956,1420.0,5.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
33,0.47,323.11823,1420.0,6.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
34,0.47,335.36014,1420.0,7.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
35,0.54,353.70316,1420.0,8.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
36,0.55,213.54381,1420.0,0.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
37,0.5,232.87096,1420.0,1.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
38,0.5,252.64566,1420.0,2.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
39,0.52,271.08167,1420.0,3.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
40,0.5,289.12936,1420.0,4.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
41,0.5,298.76794,1420.0,5.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
42,0.45,315.02475,1420.0,6.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
43,0.5,334.33615,1420.0,7.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
44,0.42,343.3987,1420.0,8.0,5,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
45,0.81,272.53708,1440.0,0.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
46,0.79,280.75232,1440.0,1.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
47,0.72,292.20084,1440.0,2.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
48,0.83,304.03568,1440.0,3.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
49,0.69,315.4355,1440.0,4.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
50,0.71,323.2085,1440.0,5.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
51,0.89,334.6289,1440.0,6.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
52,0.89,340.84576,1440.0,7.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
53,0.75,353.29526,1440.0,8.0,6,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
54,0.89,146.63307,1420.0,0.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
55,0.88,157.40515,1420.0,1.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
56,0.81,169.37514,1420.0,2.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
57,0.82,182.99954,1420.0,3.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
58,0.83,194.81514,1420.0,4.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
59,0.9,201.57683,1420.0,5.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
60,0.88,213.31488,1420.0,6.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
61,0.85,226.78554,1420.0,7.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
62,0.88,238.02914,1420.0,8.0,7,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
63,0.7,134.06117,1420.0,0.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
64,0.89,146.44283,1420.0,1.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
65,0.84,157.98654,1420.0,2.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
66,0.6,165.10962,1420.0,3.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
67,0.52,169.60419,1420.0,4.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
68,0.9,175.5939,1420.0,5.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
69,0.82,186.70099,1420.0,6.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
70,0.59,191.30713,1420.0,7.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
71,0.5,203.11507,1420.0,8.0,8,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
72,0.65,143.90552,1420.0,0.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
73,0.69,154.2665,1420.0,1.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
74,0.67,165.37175,1420.0,2.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
75,0.64,174.60046,1420.0,3.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
76,0.5,180.7899,1420.0,4.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
77,0.84,186.36397,1420.0,5.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
78,0.74,198.10509,1420.0,6.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
79,0.74,208.6123,1420.0,7.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
80,0.62,220.9718,1420.0,8.0,9,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
81,0.48,144.49681,1420.0,0.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
82,0.48,158.25412,1420.0,1.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
83,0.52,162.79297,1420.0,2.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
84,0.46,171.77544,1420.0,3.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
85,0.57,184.87038,1420.0,4.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
86,0.47,196.94652,1420.0,5.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
87,0.46,206.80774,1420.0,6.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
88,0.51,219.76305,1420.0,7.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
89,0.54,224.66951,1420.0,8.0,10,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
