,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.52,206.66383,1420.0,0.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.5,206.66383,1420.0,1.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.41,206.66383,1420.0,2.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,206.66383,1420.0,3.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.58,206.66383,1420.0,4.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.61,206.66383,1420.0,5.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.61,206.66383,1420.0,6.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.5,206.66383,1420.0,7.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.5,206.66383,1420.0,8.0,1,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.63,175.13622,1420.0,0.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.49,175.13622,1420.0,1.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.44,175.13622,1420.0,2.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.5,175.13622,1420.0,3.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.54,175.13622,1420.0,4.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.67,175.13622,1420.0,5.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.51,175.13622,1420.0,6.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.6,175.13622,1420.0,7.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.48,175.13622,1420.0,8.0,2,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.5,199.09833,1420.0,0.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.54,199.09833,1420.0,1.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.5,199.09833,1420.0,2.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.51,199.09833,1420.0,3.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.46,199.09833,1420.0,4.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.52,199.09833,1420.0,5.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.52,199.09833,1420.0,6.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.53,199.09833,1420.0,7.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
26,0.5,199.09833,1420.0,8.0,3,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
27,0.47,175.51318,1420.0,0.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
28,0.53,175.51318,1420.0,1.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
29,0.49,175.51318,1420.0,2.0,4,both,21,1,Weibo2014,EEGNet|_Without_EA-Frozen
