,score,time,samples,head,class_distinctivness,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,267.40967,1420.0,0.0,0.25404894,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.5,267.40967,1420.0,1.0,0.29137245,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.5,267.40967,1420.0,2.0,0.2397654,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,267.40967,1420.0,3.0,0.27489245,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.47916666,267.40967,1420.0,4.0,0.23307987,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.5208333,267.40967,1420.0,5.0,0.263036,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.5208333,267.40967,1420.0,6.0,0.31575704,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.5208333,267.40967,1420.0,7.0,0.2896033,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.5208333,267.40967,1420.0,8.0,0.25756234,1,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.45833334,160.88608,1420.0,0.0,0.23545703,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.5208333,160.88608,1420.0,1.0,0.37827194,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.5208333,160.88608,1420.0,2.0,0.3017077,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.47916666,160.88608,1420.0,3.0,0.2747902,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.47916666,160.88608,1420.0,4.0,0.26950246,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.625,160.88608,1420.0,5.0,0.27432308,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.5208333,160.88608,1420.0,6.0,0.24775186,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.5,160.88608,1420.0,7.0,0.2827912,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.6458333,160.88608,1420.0,8.0,0.2640195,2,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.5208333,174.69849,1420.0,0.0,0.22320363,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.47916666,174.69849,1420.0,1.0,0.26512364,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.5,174.69849,1420.0,2.0,0.27544442,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.5208333,174.69849,1420.0,3.0,0.26293874,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.5416667,174.69849,1420.0,4.0,0.27893767,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.5208333,174.69849,1420.0,5.0,0.23927124,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.5,174.69849,1420.0,6.0,0.22987834,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.5,174.69849,1420.0,7.0,0.24108683,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
26,0.5,174.69849,1420.0,8.0,0.23847331,3,session_E,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
