,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.5,187.38162,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.52,202.97552,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.5,212.66829,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,221.2115,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.52,237.58139,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.54,244.10234,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.5,256.4223,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.54,263.09415,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.53,269.93246,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.57,143.65637,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.57,155.94566,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.57,166.55316,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.56,183.6853,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.66,196.63364,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.62,209.86327,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.5,216.24208,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.51,224.689,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.48,231.07314,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.54,139.67242,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.46,146.04362,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.5,152.36272,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.54,158.60878,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.5,164.69354,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.51,172.18036,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.5,178.12738,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.5,184.42546,1420.0,7.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
