,score,time,samples,head,subject,session,channels,n_sessions,dataset,pipeline
0,0.52,213.44115,1420.0,0.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
1,0.52,213.44115,1420.0,1.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
2,0.5,213.44115,1420.0,2.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
3,0.5,213.44115,1420.0,3.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
4,0.5,213.44115,1420.0,4.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
5,0.55,213.44115,1420.0,5.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
6,0.5,213.44115,1420.0,6.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
7,0.53,213.44115,1420.0,7.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
8,0.5,213.44115,1420.0,8.0,1,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
9,0.48,198.33171,1420.0,0.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
10,0.51,198.33171,1420.0,1.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
11,0.5,198.33171,1420.0,2.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
12,0.49,198.33171,1420.0,3.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
13,0.51,198.33171,1420.0,4.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
14,0.56,198.33171,1420.0,5.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
15,0.5,198.33171,1420.0,6.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
16,0.49,198.33171,1420.0,7.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
17,0.48,198.33171,1420.0,8.0,2,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
18,0.52,193.50212,1420.0,0.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
19,0.5,193.50212,1420.0,1.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
20,0.5,193.50212,1420.0,2.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
21,0.55,193.50212,1420.0,3.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
22,0.53,193.50212,1420.0,4.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
23,0.55,193.50212,1420.0,5.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
24,0.5,193.50212,1420.0,6.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
25,0.5,193.50212,1420.0,7.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
26,0.49,193.50212,1420.0,8.0,3,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
27,0.5,185.7383,1420.0,0.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
28,0.54,185.7383,1420.0,1.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
29,0.52,185.7383,1420.0,2.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
30,0.59,185.7383,1420.0,3.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
31,0.5,185.7383,1420.0,4.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
32,0.45,185.7383,1420.0,5.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
33,0.5,185.7383,1420.0,6.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
34,0.5,185.7383,1420.0,7.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
35,0.48,185.7383,1420.0,8.0,4,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
36,0.48,200.44197,1420.0,0.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
37,0.46,200.44197,1420.0,1.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
38,0.51,200.44197,1420.0,2.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
39,0.48,200.44197,1420.0,3.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
40,0.49,200.44197,1420.0,4.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
41,0.5,200.44197,1420.0,5.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
42,0.48,200.44197,1420.0,6.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
43,0.45,200.44197,1420.0,7.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
44,0.44,200.44197,1420.0,8.0,5,both,60,1,Weibo2014,EEGNet|_Without_EA-Frozen
